# TYPE: EVALUATIONS
Bush,Kerr,Nade,Chen,Edwa,LBus,HCli,BCli,Powe,Ashc,McCa,DemP,RepP
0,100,0,0,100,15,70,100,0,0,0,100,0
0,60,60,0,85,50,70,85,50,50,70,70,40
40,60,30,30,50,40,50,60,50,15,50,50,40
100,40,30,85,0,100,0,0,70,100,0,40,100
40,60,60,15,70,70,70,70,60,30,70,60,50
0,70,60,50,50,50,85,100,50,50,50,100,0
50,85,50,40,85,60,100,100,50,50,60,70,50
40,60,70,15,40,60,30,60,70,0,85,40,50
0,85,60,0,85,50,85,85,40,15,40,85,15
0,85,100,0,100,100,50,70,50,0,15,40,15
50,85,50,50,70,70,60,60,70,50,60,50,70
30,30,30,30,40,40,0,15,100,40,100,30,60
0,70,50,0,85,0,85,85,60,0,60,70,15
85,60,50,85,60,70,0,30,70,60,85,40,70
30,70,50,60,50,50,50,70,70,50,70,50,50
0,85,30,30,60,50,85,100,30,50,60,70,15
50,50,10,50,60,50,40,50,90,5,95,50,60
70,0,0,70,30,40,0,0,85,60,70,15,85
30,60,60,40,60,50,85,85,60,60,60,50,50
100,15,0,50,30,100,50,60,70,60,85,15,85
85,40,50,70,50,50,85,85,70,50,50,40,60
0,15,0,0,0,0,15,100,0,0,0,0,0
15,60,60,40,50,40,40,70,60,40,50,60,15
50,100,50,50,100,70,100,100,50,50,50,100,50
0,100,15,0,85,40,100,100,15,0,85,85,0
0,85,60,15,85,30,85,85,30,50,70,70,30
0,85,85,0,85,50,70,100,30,15,85,70,30
90,10,0,80,50,85,0,0,40,50,90,0,75
50,40,0,70,52,60,50,40,100,50,85,50,60
100,60,100,70,60,100,85,15,100,70,85,60,85
60,40,50,60,40,50,50,30,70,70,50,70,30
100,50,50,100,50,100,100,100,100,100,100,85,100
85,0,50,85,0,100,0,0,85,100,70,40,70
50,70,50,40,60,60,70,60,70,50,60,85,40
60,60,50,50,60,60,60,70,40,50,50,60,60
15,60,60,0,70,40,85,85,40,30,60,60,40
30,70,60,50,70,50,85,85,70,70,70,70,40
70,60,70,30,85,85,70,0,85,60,70,50,40
15,70,50,15,85,60,100,85,40,30,40,85,15
15,40,70,0,60,50,0,50,50,0,70,40,0
0,70,15,40,50,60,60,50,70,50,85,60,30
70,50,30,85,50,60,15,30,60,60,40,60,70
0,70,0,0,85,0,100,100,40,0,85,60,0
85,15,40,70,85,85,50,50,85,70,85,50,85
85,40,50,70,30,70,15,30,85,60,40,30,85
60,85,50,50,85,70,100,100,85,60,100,70,60
20,75,50,30,60,45,60,70,50,45,50,75,30
70,30,60,70,60,85,40,30,100,50,70,50,50
0,70,50,0,85,50,85,100,60,40,60,70,40
85,60,50,70,50,70,70,70,70,70,50,30,60
70,60,60,40,60,70,40,40,100,30,70,60,70
100,0,85,50,50,100,0,0,60,85,0,0,85
60,40,50,50,40,60,15,15,70,50,70,50,70
0,50,0,15,50,15,100,100,15,0,0,70,0
100,30,30,85,60,100,30,40,100,50,100,60,85
60,60,50,30,50,85,60,15,85,50,40,60,50
85,15,0,85,40,85,40,30,85,70,85,40,85
30,60,50,30,60,50,50,60,60,40,85,60,60
100,0,0,100,0,100,15,0,100,100,100,50,100
85,50,50,50,50,70,30,50,50,50,50,50,100
85,50,50,85,70,85,85,100,85,50,85,85,70
70,30,30,60,30,50,15,0,85,30,50,50,50
100,0,50,85,15,100,15,0,85,70,70,30,85
15,60,60,0,60,50,40,70,50,15,70,60,30
50,50,50,50,50,50,50,50,50,50,50,50,50
60,30,0,60,15,50,50,50,60,50,60,40,60
70,40,50,85,40,100,30,70,85,60,60,40,70
60,70,70,60,60,60,60,70,70,50,85,60,60
100,50,50,85,50,100,70,70,85,50,60,60,100
0,70,40,0,85,50,60,90,60,0,60,70,15
15,70,85,0,70,40,50,70,85,0,40,40,30
15,70,15,30,70,50,50,60,30,15,70,60,30
100,40,40,85,30,100,30,60,85,70,60,60,85
60,40,70,60,50,60,40,30,60,60,70,30,40
100,40,40,100,40,100,15,30,85,85,85,40,100
100,0,60,100,0,100,0,50,100,85,100,15,85
100,0,30,70,0,100,0,15,85,70,50,15,85
0,85,30,0,70,15,85,85,60,15,60,100,0
30,30,0,0,40,70,0,40,100,0,70,40,60
85,30,30,60,50,85,0,30,70,50,60,30,70
85,0,40,70,15,100,40,40,70,70,60,40,70
100,0,50,100,0,100,0,0,100,90,70,15,85
65,60,40,55,0,75,60,70,65,60,85,55,65
85,15,15,85,15,100,15,50,100,85,85,30,85
60,60,0,15,0,50,0,60,50,15,50,40,70
10,25,50,60,60,50,100,100,100,60,50,50,100
40,60,50,40,60,50,50,40,60,40,60,60,40
85,60,70,70,50,85,70,70,85,60,40,70,60
35,50,60,50,60,50,30,40,60,30,50,50,50
70,60,50,70,60,50,100,85,85,50,50,50,50
70,60,50,85,15,60,15,15,85,60,40,50,50
40,60,0,15,70,70,50,15,50,30,85,60,30
70,15,0,60,15,85,0,0,70,70,85,40,70
0,40,50,50,60,15,85,100,70,60,70,60,30
85,60,50,40,60,50,70,50,60,50,50,30,85
30,60,0,15,70,70,85,85,50,15,50,85,30
70,70,50,50,70,85,60,40,85,50,50,100,15
0,85,0,0,85,50,100,100,40,0,50,85,0
0,100,60,15,100,40,100,100,40,40,15,100,0
30,70,70,0,40,50,60,30,70,50,40,30,30
0,70,60,0,85,50,70,85,60,0,60,85,30
15,85,30,0,70,60,85,85,70,0,70,70,15
100,0,70,70,15,85,15,0,100,85,15,0,70
85,40,85,70,50,90,35,35,90,80,90,70,70
85,40,60,70,50,85,0,15,70,60,70,30,60
70,40,50,70,50,85,30,30,60,40,50,60,70
15,70,0,0,70,60,85,100,60,15,70,70,15
30,85,15,0,85,70,85,100,60,30,70,30,85
50,85,50,50,50,50,50,0,75,50,85,70,50
70,40,15,40,50,85,0,15,85,50,70,40,60
70,50,30,60,70,85,40,30,85,50,50,40,85
100,0,50,50,0,70,0,0,70,50,70,0,70
45,60,15,70,55,50,65,75,90,60,50,70,60
60,60,50,60,60,40,70,85,70,70,50,70,70
0,90,0,0,100,0,0,90,50,50,0,80,30
0,100,0,0,100,50,100,100,100,50,50,85,70
40,50,50,0,50,60,60,60,40,0,50,40,15
100,40,0,60,30,100,15,15,100,70,70,15,85
40,60,70,30,70,70,85,70,85,40,85,60,30
0,70,52,0,85,0,80,85,15,0,60,70,0
60,40,15,30,50,70,50,50,60,50,50,50,50
85,40,60,85,50,50,70,85,85,50,50,40,85
70,60,50,50,60,70,70,50,70,50,50,60,70
100,40,50,70,60,85,40,60,85,85,40,50,85
85,50,50,70,60,100,0,30,85,70,85,70,70
85,15,50,50,70,85,60,85,60,70,70,40,60
60,70,40,0,85,85,70,70,85,50,70,85,70
15,50,40,40,50,50,100,85,40,50,50,60,40
0,70,60,15,60,15,60,15,15,50,50,60,40
70,40,50,50,85,70,50,15,50,50,50,50,50
85,30,30,60,40,70,15,15,85,50,60,40,60
85,0,15,100,0,100,0,0,70,70,85,0,100
70,60,40,60,70,60,85,85,85,60,60,70,60
60,85,40,60,85,70,85,70,70,60,50,85,70
0,70,30,0,70,30,40,40,60,0,50,40,0
85,15,50,70,15,100,15,40,50,40,50,40,60
40,50,40,50,50,60,50,50,70,50,50,40,40
70,70,60,0,50,60,70,60,40,50,85,40,40
0,70,85,0,100,60,100,100,70,15,85,60,15
50,50,50,50,50,50,60,60,60,50,50,60,50
50,60,15,50,70,60,80,70,50,50,60,60,40
0,70,30,15,70,60,60,85,70,15,85,70,15
0,70,10,0,75,40,80,80,50,50,30,80,10
85,15,30,70,50,85,15,0,85,60,70,40,85
55,55,40,30,65,75,35,75,70,40,60,50,50
30,40,40,30,85,60,85,60,40,50,60,60,30
0,10,60,0,10,1,15,12,3,0,1,10,1
100,15,50,85,0,100,0,50,100,85,100,15,100
50,70,50,50,70,60,70,85,70,50,85,85,50
85,60,50,70,50,100,85,100,100,85,85,70,85
80,45,55,65,60,90,40,55,80,65,75,55,70
85,30,50,85,15,100,30,30,85,70,70,30,85
30,70,70,30,85,60,60,70,70,30,70,70,40
70,85,70,70,70,50,50,50,70,50,50,70,70
85,40,50,85,15,70,30,60,100,50,50,40,70
0,70,50,30,85,50,70,70,50,0,50,60,40
40,60,50,60,60,85,85,85,100,60,85,85,40
85,0,0,85,0,100,0,0,85,70,40,50,70
30,65,40,60,50,50,45,70,75,60,60,75,60
40,40,40,60,60,60,60,60,85,50,50,40,60
60,30,50,100,60,85,0,100,85,70,50,40,85
15,70,0,0,60,85,60,60,15,30,15,50,50
100,15,50,85,40,100,0,0,85,100,70,40,85
30,100,70,50,85,50,100,100,100,60,70,85,40
85,50,0,85,15,100,40,60,70,70,50,40,70
30,60,50,30,50,50,50,70,50,50,50,70,30
15,85,50,15,85,50,100,85,70,15,60,60,0
0,60,40,15,60,40,85,85,30,0,60,60,30
85,30,85,85,70,50,70,60,85,70,90,50,50
85,15,30,60,40,60,50,40,70,60,70,30,100
40,50,50,70,70,85,30,0,85,50,60,60,70
50,0,0,50,50,100,0,0,100,0,50,50,50
0,70,0,0,85,0,85,85,70,50,60,100,0
30,50,15,30,50,70,60,70,60,15,70,40,40
0,50,0,0,70,15,60,60,50,0,60,60,15
70,15,15,40,40,70,15,15,85,60,50,15,70
85,15,50,85,40,100,0,0,85,50,70,30,85
85,40,0,70,40,85,85,85,100,60,85,50,50
